2026-05-11T08:11:18.937Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting","logFile":".setting/mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-05-11T08:11:18.942Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.118","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: null
2026-05-11T08:11:18.943Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.118","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-05-11T08:11:20.514Z | connection_pool_created | {"host":"proxysql-office.taboolasyndication.com","port":6033,"database":"","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-05-11T08:11:20.515Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-05-11T08:11:20.517Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"proxysql-office.taboolasyndication.com","MYSQL_PORT":"6033","MYSQL_USER":"alex.m","MYSQL_DATABASE":"","TOOL_PREFIX":"","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-05-11T12:34:42.441Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-11T12:34:42.454Z | connection_pool_recreate_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T12:34:42.455Z | health_check_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T17:54:38.606Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-11T17:54:38.622Z | connection_pool_recreate_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T17:54:38.623Z | health_check_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T18:10:52.212Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-11T18:10:52.216Z | connection_pool_recreate_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T18:10:52.217Z | health_check_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T18:43:19.625Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-11T18:43:19.636Z | connection_pool_recreate_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T18:43:19.637Z | health_check_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T18:53:33.101Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-11T18:53:33.109Z | connection_pool_recreate_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T18:53:33.110Z | health_check_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
2026-05-11T19:25:26.970Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-05-11T19:25:26.989Z | connection_pool_recreate_error | {"error":"getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com"} | getaddrinfo ENOTFOUND proxysql-office.taboolasyndication.com | RESPONSE: null
